date,1. open,2. high,3. low,4. close,5. volume,Ticker
2024-12-31,100.0,100.075,98.4,98.87,935277.0,PLNT
2024-12-30,98.76,100.68,98.0032,99.68,711003.0,PLNT
2024-12-27,99.96,100.275,98.82,99.76,663981.0,PLNT
2024-12-26,100.28,100.72,99.79,100.49,616918.0,PLNT
2024-12-24,99.91,101.21,99.54,101.06,264320.0,PLNT
2024-12-23,98.73,100.82,98.73,100.2,631762.0,PLNT
2024-12-20,98.66,100.91,98.4,99.26,2246887.0,PLNT
2024-12-19,98.91,100.23,98.43,99.18,1074640.0,PLNT
2024-12-18,102.12,102.61,96.93,97.45,1019235.0,PLNT
2024-12-17,100.76,102.8999,99.82,101.83,1247030.0,PLNT
2024-12-16,99.97,101.26,98.88,99.02,831384.0,PLNT
2024-12-13,100.05,100.52,98.77,100.34,753293.0,PLNT
2024-12-12,102.0,102.52,99.77,100.26,1091124.0,PLNT
2024-12-11,100.94,102.88,100.55,102.01,1214113.0,PLNT
2024-12-10,99.1,101.175,98.59,100.17,773809.0,PLNT
2024-12-09,99.45,100.07,98.24,98.67,742166.0,PLNT
2024-12-06,100.79,101.36,99.715,99.87,570180.0,PLNT
2024-12-05,100.44,101.44,99.91,100.37,609332.0,PLNT
2024-12-04,99.27,99.76,98.7,99.46,726317.0,PLNT
2024-12-03,99.65,100.2,98.09,99.39,692290.0,PLNT
2024-12-02,98.87,100.05,98.86,99.58,825749.0,PLNT
2024-11-29,101.02,101.208,99.25,99.55,404195.0,PLNT
2024-11-27,102.0,102.81,100.34,101.02,842891.0,PLNT
2024-11-26,100.47,101.65,100.01,101.57,659741.0,PLNT
2024-11-25,101.82,102.2,99.8,100.95,1417425.0,PLNT
2024-11-22,100.32,101.76,99.53,101.53,1322602.0,PLNT
2024-11-21,98.68,100.63,97.8643,100.02,1224499.0,PLNT
2024-11-20,97.67,98.82,96.61,98.28,789226.0,PLNT
2024-11-19,95.72,98.15,95.29,97.87,979649.0,PLNT
2024-11-18,95.18,97.33,94.95,97.03,1060457.0,PLNT
2024-11-15,96.33,96.66,94.44,95.27,779463.0,PLNT
2024-11-14,96.78,97.34,95.32,96.21,959308.0,PLNT
2024-11-13,95.15,97.07,95.05,96.83,1140061.0,PLNT
2024-11-12,94.77,95.005,92.42,94.69,1018647.0,PLNT
2024-11-11,95.89,96.94,94.62,95.2,1448054.0,PLNT
2024-11-08,93.475,97.19,92.2314,95.31,1982660.0,PLNT
2024-11-07,94.1,98.59,92.005,94.17,5418315.0,PLNT
2024-11-06,81.59,85.07,80.85,84.65,3108014.0,PLNT
2024-11-05,78.8,79.82,77.79,79.77,988066.0,PLNT
2024-11-04,78.71,80.3875,78.3752,78.91,991215.0,PLNT
2024-11-01,78.82,79.6,78.8,78.97,633082.0,PLNT
2024-10-31,78.36,79.56,78.1601,78.52,728211.0,PLNT
2024-10-30,80.05,80.24,78.25,78.5,1451763.0,PLNT
2024-10-29,81.38,81.52,79.5013,80.14,838993.0,PLNT
2024-10-28,82.35,83.08,80.9375,81.25,1145750.0,PLNT
2024-10-25,79.0,81.985,79.0,81.73,1266208.0,PLNT
2024-10-24,79.65,79.71,77.77,79.01,830479.0,PLNT
2024-10-23,80.0,80.92,79.07,79.81,899884.0,PLNT
2024-10-22,79.04,80.09,78.47,80.06,828034.0,PLNT
2024-10-21,80.24,80.87,79.03,79.16,1383163.0,PLNT
2024-10-18,79.22,81.33,78.88,80.49,1513944.0,PLNT
2024-10-17,79.54,79.6,78.16,78.75,1273722.0,PLNT
2024-10-16,82.62,83.39,79.87,80.06,1044226.0,PLNT
2024-10-15,82.6,83.59,81.99,82.77,623630.0,PLNT
2024-10-14,80.89,82.34,80.62,82.33,954951.0,PLNT
2024-10-11,79.92,81.0,79.69,80.91,790433.0,PLNT
2024-10-10,79.89,80.54,79.37,80.44,792813.0,PLNT
2024-10-09,80.71,81.29,80.355,80.45,1205047.0,PLNT
2024-10-08,81.37,81.37,79.43,80.56,1477396.0,PLNT
2024-10-07,83.38,83.38,80.8,81.2,935148.0,PLNT
2024-10-04,83.5,83.86,82.52,83.37,1006550.0,PLNT
2024-10-03,82.12,82.995,81.885,82.78,865429.0,PLNT
2024-10-02,81.04,82.6,80.76,82.54,906551.0,PLNT
2024-10-01,81.25,82.39,80.73,81.85,1119752.0,PLNT
2024-09-30,80.34,81.48,79.687,81.22,1481399.0,PLNT
2024-09-27,81.97,82.3,80.13,80.48,1023142.0,PLNT
2024-09-26,82.92,83.04,82.31,82.73,786411.0,PLNT
2024-09-25,83.48,83.555,82.1,82.25,685136.0,PLNT
2024-09-24,82.52,83.79,82.07,83.52,854497.0,PLNT
2024-09-23,84.58,84.66,82.0,82.03,1103414.0,PLNT
2024-09-20,84.25,85.0818,83.31,84.34,1724531.0,PLNT
2024-09-19,84.39,84.93,83.71,84.07,915318.0,PLNT
2024-09-18,82.06,83.2,81.7,83.17,953877.0,PLNT
2024-09-17,82.7,82.83,80.71,81.62,973653.0,PLNT
2024-09-16,82.71,82.99,81.17,82.78,1549803.0,PLNT
2024-09-13,82.59,83.98,82.05,82.39,1031001.0,PLNT
2024-09-12,81.58,82.87,81.575,82.31,758015.0,PLNT
2024-09-11,80.5,81.505,79.73,81.29,949389.0,PLNT
2024-09-10,80.82,81.14,80.07,80.97,1063047.0,PLNT
2024-09-09,81.64,81.84,80.23,80.85,1285131.0,PLNT
2024-09-06,83.36,83.36,81.01,81.56,1151283.0,PLNT
2024-09-05,80.62,81.73,79.91,81.73,1487359.0,PLNT
2024-09-04,79.49,79.9,78.37,78.98,1315434.0,PLNT
2024-09-03,80.65,81.38,79.055,79.73,1176133.0,PLNT
2024-08-30,81.57,81.725,80.0,81.21,913206.0,PLNT
2024-08-29,81.75,82.48,81.02,81.06,829547.0,PLNT
2024-08-28,81.4,82.3713,80.72,81.56,746565.0,PLNT
2024-08-27,80.88,82.56,80.88,81.74,948961.0,PLNT
2024-08-26,82.64,82.82,81.64,81.91,1384457.0,PLNT
2024-08-23,80.05,81.23,79.53,81.07,1002004.0,PLNT
2024-08-22,80.76,80.92,79.56,79.89,1645682.0,PLNT
2024-08-21,79.42,80.84,79.175,80.51,1263980.0,PLNT
2024-08-20,79.47,80.18,78.23,79.09,1070712.0,PLNT
2024-08-19,79.26,80.18,78.99,79.19,1729665.0,PLNT
2024-08-16,79.85,80.47,79.24,79.28,1304134.0,PLNT
2024-08-15,80.62,81.64,79.18,79.8,1545591.0,PLNT
2024-08-14,79.78,80.4,78.68,79.76,1347604.0,PLNT
2024-08-13,78.96,80.05,78.6,79.91,1494681.0,PLNT
2024-08-12,79.05,79.51,78.5,78.66,1368094.0,PLNT
2024-08-09,78.13,79.53,77.36,79.04,2469125.0,PLNT
2024-08-08,76.15,78.9,76.15,78.24,2166587.0,PLNT
2024-08-07,76.65,77.93,75.55,75.74,2561260.0,PLNT
2024-08-06,75.0,79.1,73.7,76.4,4850025.0,PLNT
2024-08-05,69.55,72.21,68.745,72.01,3329617.0,PLNT
2024-08-02,70.78,73.33,70.28,72.4,2019801.0,PLNT
2024-08-01,74.3,74.72,70.93,72.67,1962025.0,PLNT
2024-07-31,74.16,74.455,72.99,73.7,1847249.0,PLNT
2024-07-30,74.32,75.24,73.48,73.86,956231.0,PLNT
2024-07-29,74.58,75.23,73.91,74.23,1039391.0,PLNT
2024-07-26,76.04,76.415,74.42,74.99,823056.0,PLNT
2024-07-25,75.0,75.71,74.0301,74.7,1463116.0,PLNT
2024-07-24,76.04,76.595,75.28,75.4,1034968.0,PLNT
2024-07-23,76.34,77.83,76.015,76.58,1122047.0,PLNT
2024-07-22,76.56,76.92,74.9596,76.39,1109965.0,PLNT
2024-07-19,77.1,77.24,75.31,76.5,953920.0,PLNT
2024-07-18,77.04,78.605,76.39,76.75,1033051.0,PLNT
2024-07-17,76.7,78.07,76.23,77.25,1439459.0,PLNT
2024-07-16,77.49,79.09,76.21,77.4,1408063.0,PLNT
2024-07-15,75.53,77.3,75.5,76.47,1901406.0,PLNT
2024-07-12,74.38,75.55,74.01,75.37,1503583.0,PLNT
2024-07-11,73.02,74.5,72.66,73.89,1672231.0,PLNT
2024-07-10,72.2,72.43,71.38,72.26,874652.0,PLNT
2024-07-09,72.62,72.745,71.3,72.07,1210296.0,PLNT
